SORT_ORDER,ORG_NAME,ORG_CODE,FY_CODE,AMAO_PRGS_ACHIEVED,AMAO_ATTN_ACHIEVED,CUMULATIVE_PPI
2,"New Bedford",02010000,2007,No,No,
2,"New Bedford",02010000,2011,No,No,
2,"New Bedford",02010000,2006,Yes,Yes,
2,"New Bedford",02010000,2008,No,No,
2,Newton,02070000,2010,Yes,Yes,
2,Newton,02070000,2013,Yes,Yes,Yes
2,Newton,02070000,2012,Yes,Yes,Yes
2,Newton,02070000,2008,Yes,Yes,
2,Newton,02070000,2007,Yes,Yes,
2,Newton,02070000,2009,Yes,Yes,
2,Newton,02070000,2011,Yes,Yes,
2,Newton,02070000,2006,Yes,Yes,
2,Newton,02070000,2005,Yes,Yes,
2,Norwood,02200000,2012,Yes,Yes,Yes
2,Norwood,02200000,2010,Yes,Yes,
2,Norwood,02200000,2013,Yes,Yes,No
2,Norwood,02200000,2008,Yes,Yes,
2,Norwood,02200000,2006,Yes,No,
2,Norwood,02200000,2011,Yes,Yes,
2,Norwood,02200000,2007,Yes,Yes,
2,Norwood,02200000,2009,Yes,Yes,
2,Norwood,02200000,2005,Yes,Yes,
2,Peabody,02290000,2013,No,Yes,No
2,Peabody,02290000,2012,Yes,Yes,No
2,Peabody,02290000,2010,Yes,Yes,
2,Peabody,02290000,2006,Yes,Yes,
2,Peabody,02290000,2011,Yes,Yes,
2,Peabody,02290000,2007,Yes,Yes,
2,Peabody,02290000,2005,No,No,
2,Peabody,02290000,2008,Yes,Yes,
2,Peabody,02290000,2009,Yes,Yes,
2,Pittsfield,02360000,2010,Yes,Yes,
2,Pittsfield,02360000,2013,Yes,Yes,No
2,Pittsfield,02360000,2012,No,Yes,No
2,Pittsfield,02360000,2009,Yes,Yes,
2,Pittsfield,02360000,2005,Yes,Yes,
2,Pittsfield,02360000,2007,No,No,
2,Pittsfield,02360000,2011,No,Yes,
2,Pittsfield,02360000,2006,Yes,Yes,
2,Pittsfield,02360000,2008,Yes,Yes,
2,Quincy,02430000,2013,Yes,Yes,No
2,Quincy,02430000,2012,Yes,Yes,No
2,Quincy,02430000,2010,Yes,Yes,
2,Quincy,02430000,2009,Yes,Yes,
2,Quincy,02430000,2008,Yes,Yes,
2,Quincy,02430000,2005,Yes,Yes,
2,Quincy,02430000,2007,Yes,Yes,
2,Quincy,02430000,2011,Yes,Yes,
2,Quincy,02430000,2006,Yes,Yes,
2,Randolph,02440000,2013,Yes,Yes,No
2,Randolph,02440000,2012,Yes,Yes,No
2,Randolph,02440000,2010,Yes,Yes,
2,Randolph,02440000,2011,Yes,Yes,
2,Randolph,02440000,2007,Yes,No,
2,Randolph,02440000,2005,Yes,Yes,
2,Randolph,02440000,2006,Yes,Yes,
2,Randolph,02440000,2008,Yes,Yes,
2,Randolph,02440000,2009,Yes,Yes,
2,Revere,02480000,2010,Yes,Yes,
2,Revere,02480000,2013,Yes,No,No
2,Revere,02480000,2012,Yes,Yes,No
2,Revere,02480000,2009,Yes,Yes,
2,Revere,02480000,2007,Yes,Yes,
2,Revere,02480000,2011,Yes,Yes,
2,Revere,02480000,2006,Yes,Yes,
2,Revere,02480000,2005,Yes,No,
2,Revere,02480000,2008,Yes,Yes,
2,Salem,02580000,2013,No,No,No
2,Salem,02580000,2010,No,No,
2,Salem,02580000,2012,No,No,No
2,Salem,02580000,2011,No,No,
2,Salem,02580000,2007,No,No,
2,Salem,02580000,2005,Yes,No,
2,Salem,02580000,2009,No,No,
2,Salem,02580000,2006,Yes,Yes,
2,Salem,02580000,2008,Yes,Yes,
2,"Seven Hills Charter Public (District)",04860000,2013,Yes,Yes,Yes
2,Shrewsbury,02710000,2010,Yes,Yes,
2,Shrewsbury,02710000,2012,Yes,Yes,Yes
2,Shrewsbury,02710000,2013,Yes,Yes,Yes
2,Shrewsbury,02710000,2009,Yes,Yes,
2,Shrewsbury,02710000,2011,Yes,Yes,
2,Shrewsbury,02710000,2007,Yes,Yes,
2,Shrewsbury,02710000,2005,--,--,
2,Shrewsbury,02710000,2008,Yes,Yes,
2,Somerville,02740000,2013,No,No,No
2,Somerville,02740000,2010,Yes,No,
2,Somerville,02740000,2012,Yes,No,No
2,Somerville,02740000,2009,Yes,Yes,
2,Somerville,02740000,2007,Yes,Yes,
2,Somerville,02740000,2011,Yes,Yes,
2,Somerville,02740000,2006,Yes,Yes,
2,Somerville,02740000,2005,Yes,No,
2,Somerville,02740000,2008,Yes,Yes,
2,Southbridge,02770000,2013,No,No,No
2,Southbridge,02770000,2012,No,No,No
2,Southbridge,02770000,2010,No,No,
2,Southbridge,02770000,2011,No,No,
2,Southbridge,02770000,2005,Yes,No,
2,Southbridge,02770000,2007,No,No,
2,Southbridge,02770000,2006,No,No,
2,Southbridge,02770000,2008,No,No,
2,Southbridge,02770000,2009,Yes,Yes,
2,Springfield,02810000,2012,No,No,No
2,Springfield,02810000,2013,No,No,No
2,Springfield,02810000,2010,No,No,
2,Springfield,02810000,2007,No,No,
2,Springfield,02810000,2009,No,No,
2,Springfield,02810000,2008,No,No,
2,Springfield,02810000,2006,No,No,
2,Springfield,02810000,2005,Yes,No,
2,Springfield,02810000,2011,No,No,
2,Stoughton,02850000,2010,Yes,Yes,
2,Stoughton,02850000,2013,No,Yes,No
2,Stoughton,02850000,2012,Yes,Yes,No
2,Stoughton,02850000,2008,Yes,Yes,
2,Stoughton,02850000,2011,Yes,Yes,
2,Stoughton,02850000,2009,Yes,Yes,
2,Taunton,02930000,2013,No,No,No
2,Taunton,02930000,2010,Yes,Yes,
2,Taunton,02930000,2012,Yes,Yes,No
2,Taunton,02930000,2005,Yes,Yes,
2,Taunton,02930000,2007,Yes,Yes,
2,Taunton,02930000,2006,Yes,Yes,
2,Taunton,02930000,2011,No,Yes,
2,Taunton,02930000,2009,Yes,Yes,
