SY,District,"Org Code","In-District FTE Average Membership","Out-of-District FTE Average Membership","Total FTE Average Membership"
2012,WESTFIELD,03250000,5946.8,145.5,6092.3
2012,WESTFORD,03260000,5233.6,58.9,5292.5
2012,WESTHAMPTON,03270000,138.1,18,156.1
2012,WESTON,03300000,2343.7,23.9,2367.6
2012,WESTPORT,03310000,1710.1,41.8,1751.9
2012,WESTWOOD,03350000,3166.4,27.8,3194.2
2012,WEYMOUTH,03360000,6791.4,188.9,6980.3
2012,WHATELY,03370000,126.5,26.6,153.1
2012,"WHITMAN HANSON",07800000,4297.1,75.1,4372.2
2012,WHITTIER,08850000,1198.4,12.9,1211.3
2012,WILLIAMSBURG,03400000,159.3,45.8,205.1
2012,WILLIAMSTOWN,03410000,413.6,6,419.6
2012,WILMINGTON,03420000,3607.7,71.2,3678.9
2012,WINCHENDON,03430000,1443.7,191.7,1635.4
2012,WINCHESTER,03440000,4335.2,58.9,4394.1
2012,WINTHROP,03460000,1935.6,44.7,1980.3
2012,WOBURN,03470000,4765.3,106.5,4871.8
2012,WORCESTER,03480000,24259,2968.8,27227.8
2012,WRENTHAM,03500000,1143,18.4,1161.4
2012,"MASSACHUSETTS TOTAL",00000000,919228.8,59858.4,979087.2
2011,ABINGTON,00010000,2038.7,80.3,2119
2011,ACTON,00020000,2572.3,22.8,2595.1
2011,"ACTON BOXBOROUGH",06000000,2940.2,84.1,3024.3
2011,ACUSHNET,00030000,1006.4,278.2,1284.6
2011,"ADAMS CHESHIRE",06030000,1493.5,129.2,1622.7
2011,AGAWAM,00050000,4237.1,141.7,4378.8
2011,AMESBURY,00070000,2364.2,171,2535.2
2011,AMHERST,00080000,1284.2,73.4,1357.6
2011,"AMHERST PELHAM",06050000,1572.9,138.1,1711
2011,ANDOVER,00090000,6264.1,92.3,6356.4
2011,ARLINGTON,00100000,4440.8,115.4,4556.2
2011,"ASHBURNHAM WESTMINSTER",06100000,2316.5,87.9,2404.4
2011,ASHLAND,00140000,2602.5,122.2,2724.7
2011,"ASSABET VALLEY",08010000,1022.8,0,1022.8
2011,"ATHOL ROYALSTON",06150000,1619.2,373.3,1992.5
2011,ATTLEBORO,00160000,5766.9,385.1,6152
2011,AUBURN,00170000,2336.6,94.1,2430.7
2011,AVON,00180000,774.8,12.7,787.5
2011,AYER,00190000,924.1,381.5,1305.6
2011,BARNSTABLE,00200000,4189,1377.8,5566.8
2011,BEDFORD,00230000,2353.6,99.5,2453.1
2011,BELCHERTOWN,00240000,2609.9,111.9,2721.8
2011,BELLINGHAM,00250000,2548.8,133,2681.8
2011,BELMONT,00260000,3930,73.1,4003.1
2011,BERKLEY,00270000,910,244.6,1154.6
2011,"BERKSHIRE HILLS",06180000,1344.6,128.7,1473.3
2011,BERLIN,00280000,203.2,19.8,223
2011,"BERLIN BOYLSTON",06200000,409.2,90.8,500
2011,BEVERLY,00300000,4258.2,253.9,4512.1
2011,BILLERICA,00310000,5778.6,305.8,6084.4
2011,"BLACKSTONE MILLVILLE",06220000,2008.2,72.8,2081
2011,"BLACKSTONE VALLEY",08050000,1147.1,2,1149.1
2011,"BLUE HILLS",08060000,815.9,0.6,816.5
