,,,,"Actual NSS Above Foundation",,"Actual NSS Above Required Net School Spending",
SY,"Org Name","Org Code","Actual Net School Spending","Foundation Budget","Percent Above","Required NSS Budget","Percent Above"
2012,Lynn,01630000,154575501,156427178,-0.01,157201076,-0.02
2012,Lynnfield,01640000,24089765,19086224,0.26,20430089,0.18
2012,Malden,01650000,72397596,74002031,-0.02,74002031,-0.02
2012,"Manchester Essex",06980000,18061021,12153403,0.49,12153403,0.49
2012,Mansfield,01670000,44152262,42752257,0.03,42881799,0.03
2012,Marblehead,01680000,38307426,27367247,0.4,27795471,0.38
2012,Marion,01690000,5365383,3339020,0.61,3520481,0.52
2012,Marlborough,01700000,60000672,47531357,0.26,47531357,0.26
2012,Marshfield,01710000,44106357,39583757,0.11,41518381,0.06
2012,"Marthas Vineyard",07000000,14770555,7459791,0.98,9674060,0.53
2012,Masconomet,07050000,23770085,18928100,0.26,21201463,0.12
2012,Mashpee,01720000,23928718,16170543,0.48,18565015,0.29
2012,Mattapoisett,01730000,6659663,3951257,0.69,4074970,0.63
2012,Maynard,01740000,15893199,12168261,0.31,12198457,0.3
2012,Medfield,01750000,29800685,24263808,0.23,26300203,0.13
2012,Medford,01760000,60079471,51296238,0.17,53656812,0.12
2012,Medway,01770000,27063740,22260938,0.22,23018805,0.18
2012,Melrose,01780000,34256898,33172689,0.03,33172689,0.03
2012,Mendon,01790000,0,24883,-1,39521,-1
2012,Mendon-Upton,07100000,25284062,22155000,0.14,22923179,0.1
2012,Methuen,01810000,68155259,66167336,0.03,72453180,-0.06
2012,Middleborough,01820000,33965027,32141290,0.06,32141290,0.06
2012,Middlefield,01830000,55093,36750,0.5,39992,0.38
2012,Middleton,01840000,8671934,6001242,0.45,6645888,0.31
2012,Milford,01850000,44140976,39488612,0.12,39488612,0.12
2012,Millbury,01860000,20791627,16266575,0.28,16858183,0.23
2012,Millis,01870000,13804946,11812389,0.17,11812389,0.17
2012,Millville,01880000,132264,85750,0.54,85750,0.54
2012,Milton,01890000,40054796,33445351,0.2,33820986,0.18
2012,"Minuteman Regional Vocational Technical",08300000,9695615,6529848,0.49,7692529,0.26
2012,"Mohawk Trail",07170000,14219363,10123559,0.41,11786453,0.21
2012,Monroe,01900000,129965,79784,0.63,156533,-0.17
2012,Monson,01910000,12796711,12125247,0.06,12460619,0.03
2012,"Montachusett Regional Vocational Technical",08320000,20258703,19926696,0.02,19926696,0.02
2012,Montague,01920000,19000,0,0,0," %"
2012,Montgomery,01940000,52068,36750,0.42,46820,0.11
2012,"Mount Greylock",07150000,9377842,4795752,0.96,5666590,0.66
2012,"Mount Washington",01950000,155079,120558,0.29,141523,0.1
2012,Nahant,01960000,3401332,2959458,0.15,3151864,0.08
2012,Nantucket,01970000,24014684,11144212,1.16,12235930,0.96
2012,Narragansett,07200000,15840106,13213993,0.2,14171449,0.12
2012,Nashoba,07250000,38212062,28345672,0.35,28861895,0.32
2012,"Nashoba Valley Regional Vocational Technical",08520000,8052154,8193934,-0.02,8249415,-0.02
2012,Natick,01980000,55777138,43072104,0.3,44010287,0.27
2012,Nauset,06600000,21256417,11987364,0.77,14987223,0.42
2012,Needham,01990000,64353871,46025846,0.4,46025846,0.4
2012,"New Ashford",02000000,436726,334160,0.31,367849,0.19
2012,"New Bedford",02010000,134635999,131413255,0.03,131413255,0.03
2012,"New Marlborough",02050000,1500,0,0,0," %"
2012,"New Salem",02060000,6203,0,0,0," %"
2012,"New Salem-Wendell",07280000,1731423,1102692,0.57,1270710,0.36
2012,Newburyport,02040000,28979287,19604539,0.48,20813081,0.39
2012,Newton,02070000,175864956,109411945,0.61,109411945,0.61
2012,Norfolk,02080000,10390502,7607426,0.37,9217134,0.13
