adminyear,grade,org_code,DistrictName,SchoolName,group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2009,08,01640405,Lynnfield,"Lynnfield Middle School","All Students",188,188,,,,,,188,188,,,,,,188,188,,,,,,100,100,100
2009,08,01640405,Lynnfield,"Lynnfield Middle School",White,174,174,,,,,,174,174,,,,,,174,174,,,,,,100,100,100
2009,08,01640405,Lynnfield,"Lynnfield Middle School","Special Ed",18,18,,,,,,18,18,,,,,,18,18,,,,,,100,100,100
2009,10,01640505,Lynnfield,"Lynnfield High","All Students",177,173,2,,,,2,178,173,2,1,,,2,181,167,2,2,,,10,100,99,99
2009,10,01640505,Lynnfield,"Lynnfield High",White,164,161,2,,,,1,165,161,2,1,,,1,168,156,2,2,,,8,100,99,99
2009,10,01640505,Lynnfield,"Lynnfield High","Special Ed",25,23,2,,,,,25,23,2,,,,,27,22,2,2,,,1,100,100,93
2009,03,01650003,Malden,Beebe,"All Students",103,94,,,,5,4,103,94,,,,5,4,,,,,,,,100,100,
2009,03,01650003,Malden,Beebe,"Low Income",58,53,,,,3,2,58,53,,,,3,2,,,,,,,,100,100,
2009,03,01650003,Malden,Beebe,Black,19,14,,,,3,2,19,14,,,,3,2,,,,,,,,100,100,
2009,03,01650003,Malden,Beebe,Asian,38,35,,,,2,1,38,35,,,,2,1,,,,,,,,100,100,
2009,03,01650003,Malden,Beebe,Hispanic/Latino,15,15,,,,,,15,15,,,,,,,,,,,,,100,100,
2009,03,01650003,Malden,Beebe,White,31,30,,,,,1,31,30,,,,,1,,,,,,,,100,100,
2009,03,01650003,Malden,Beebe,"LEP/Formerly LEP",36,30,,,,5,1,36,30,,,,5,1,,,,,,,,100,100,
2009,04,01650003,Malden,Beebe,"All Students",106,100,,1,,4,1,106,101,,,,4,1,,,,,,,,99,100,
2009,04,01650003,Malden,Beebe,"Low Income",54,49,,1,,3,1,54,50,,,,3,1,,,,,,,,98,100,
2009,04,01650003,Malden,Beebe,Black,18,17,,,,1,,18,17,,,,1,,,,,,,,,100,100,
2009,04,01650003,Malden,Beebe,Asian,34,31,,,,3,,34,31,,,,3,,,,,,,,,100,100,
2009,04,01650003,Malden,Beebe,Hispanic/Latino,10,10,,,,,,10,10,,,,,,,,,,,,,100,100,
2009,04,01650003,Malden,Beebe,White,42,40,,1,,,1,42,41,,,,,1,,,,,,,,98,100,
2009,04,01650003,Malden,Beebe,"LEP/Formerly LEP",27,22,,1,,4,,27,23,,,,4,,,,,,,,,96,100,
