adminyear,grade,org_code,district,SchoolName,group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,eayp_part_rate,mayp_part_rate,sayp_part_rate
2007,03,00020025,Acton,Gates,"All Students",76,73,2,,,,1,76,73,2,,,,1,,,,,,,,100,100,
2007,03,00020025,Acton,Gates,Asian,20,19,,,,,1,20,19,,,,,1,,,,,,,,100,100,
2007,03,00020025,Acton,Gates,White,56,54,2,,,,,56,54,2,,,,,,,,,,,,100,100,
2007,03,00020025,Acton,Gates,"Special Ed",17,14,2,,,,1,17,14,2,,,,1,,,,,,,,100,100,
2007,04,00020025,Acton,Gates,"All Students",73,71,,,,,2,73,71,,,,,2,,,,,,,,100,100,
2007,04,00020025,Acton,Gates,Asian,10,10,,,,,,10,10,,,,,,,,,,,,,100,100,
2007,04,00020025,Acton,Gates,White,62,60,,,,,2,62,60,,,,,2,,,,,,,,100,100,
2007,04,00020025,Acton,Gates,"Special Ed",11,11,,,,,,11,11,,,,,,,,,,,,,100,100,
2007,05,00020025,Acton,Gates,"All Students",75,75,,,,,,75,75,,,,,,75,75,,,,,,100,100,100
2007,05,00020025,Acton,Gates,Asian,21,21,,,,,,21,21,,,,,,21,21,,,,,,100,100,100
2007,05,00020025,Acton,Gates,White,52,52,,,,,,52,52,,,,,,52,52,,,,,,100,100,100
2007,06,00020025,Acton,Gates,"All Students",74,74,,,,,,74,74,,,,,,,,,,,,,100,100,
2007,06,00020025,Acton,Gates,White,68,68,,,,,,68,68,,,,,,,,,,,,,100,100,
2007,06,00020025,Acton,Gates,"Special Ed",11,11,,,,,,11,11,,,,,,,,,,,,,100,100,
2007,03,00020030,Acton,"Luther Conant","All Students",76,75,,,,,1,76,75,,,,,1,,,,,,,,100,100,
2007,03,00020030,Acton,"Luther Conant",Asian,25,25,,,,,,25,25,,,,,,,,,,,,,100,100,
2007,03,00020030,Acton,"Luther Conant",White,49,48,,,,,1,49,48,,,,,1,,,,,,,,100,100,
2007,04,00020030,Acton,"Luther Conant","All Students",70,69,,,,,1,71,69,,,,,2,,,,,,,,100,100,
2007,04,00020030,Acton,"Luther Conant",Asian,26,25,,,,,1,26,25,,,,,1,,,,,,,,100,100,
2007,04,00020030,Acton,"Luther Conant",White,41,41,,,,,,42,41,,,,,1,,,,,,,,100,100,
2007,05,00020030,Acton,"Luther Conant","All Students",71,70,,,,,1,71,70,,,,,1,71,70,,,,,1,100,100,100
2007,05,00020030,Acton,"Luther Conant",Asian,26,25,,,,,1,26,25,,,,,1,26,25,,,,,1,100,100,100
2007,05,00020030,Acton,"Luther Conant",White,40,40,,,,,,40,40,,,,,,40,40,,,,,,100,100,100
2007,05,00020030,Acton,"Luther Conant","Special Ed",14,14,,,,,,14,14,,,,,,14,14,,,,,,100,100,100
2007,06,00020030,Acton,"Luther Conant","All Students",73,67,,,,4,2,73,67,,,,4,2,,,,,,,,100,100,
2007,06,00020030,Acton,"Luther Conant",Asian,28,27,,,,,1,28,27,,,,,1,,,,,,,,100,100,
2007,06,00020030,Acton,"Luther Conant",White,43,39,,,,3,1,43,39,,,,3,1,,,,,,,,100,100,
2007,03,00030025,Acushnet,"Acushnet Elementary Sch","All Students",131,131,,,,,,131,131,,,,,,,,,,,,,100,100,
2007,03,00030025,Acushnet,"Acushnet Elementary Sch","Low Income",17,17,,,,,,17,17,,,,,,,,,,,,,100,100,
2007,03,00030025,Acushnet,"Acushnet Elementary Sch",White,129,129,,,,,,129,129,,,,,,,,,,,,,100,100,
2007,03,00030025,Acushnet,"Acushnet Elementary Sch","Special Ed",26,26,,,,,,26,26,,,,,,,,,,,,,100,100,
2007,04,00030025,Acushnet,"Acushnet Elementary Sch","All Students",110,109,1,,,,,110,109,1,,,,,,,,,,,,100,100,
2007,04,00030025,Acushnet,"Acushnet Elementary Sch","Low Income",20,20,,,,,,20,20,,,,,,,,,,,,,100,100,
2007,04,00030025,Acushnet,"Acushnet Elementary Sch",White,107,106,1,,,,,107,106,1,,,,,,,,,,,,100,100,
2007,04,00030025,Acushnet,"Acushnet Elementary Sch","Special Ed",24,23,1,,,,,24,23,1,,,,,,,,,,,,100,100,
2007,05,00030305,Acushnet,"Albert F Ford Middle Sch","All Students",111,108,1,,,,2,111,108,1,,,,2,111,108,1,,,,2,100,100,100
2007,05,00030305,Acushnet,"Albert F Ford Middle Sch","Low Income",13,12,,,,,1,13,12,,,,,1,13,12,,,,,1,100,100,100
2007,05,00030305,Acushnet,"Albert F Ford Middle Sch",White,110,108,1,,,,1,110,108,1,,,,1,110,108,1,,,,1,100,100,100
2007,05,00030305,Acushnet,"Albert F Ford Middle Sch","Special Ed",14,12,1,,,,1,14,12,1,,,,1,14,12,1,,,,1,100,100,100
2007,06,00030305,Acushnet,"Albert F Ford Middle Sch","All Students",117,117,,,,,,117,117,,,,,,,,,,,,,100,100,
