"Grade Levels by District Report",,,
"District Code",District,"School Level Description","Number of Schools"
04490000,"Boston Collegiate Charter (District)",Secondary,1
04500000,"Hilltown Cooperative Charter Public (District)",Elementary,1
04520000,"Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)",Secondary,1
04530000,"Holyoke Community Charter (District)",Elementary,1
04540000,"Lawrence Family Development Charter (District)",Elementary,1
04550000,"Hill View Montessori Charter Public (District)",Elementary,1
04560000,"Lowell Community Charter Public (District)",Elementary,1
04570000,"Brooke Charter School East Boston (District)",Elementary,1
04580000,"Lowell Middlesex Academy Charter (District)",Secondary,1
04590000,"Excel Academy Charter School - Boston II (District)",Secondary,1
04610000,"Excel Academy Charter School - Chelsea (District)",Elementary,1
04630000,"KIPP Academy Boston Charter School (District)",Elementary,1
04640000,"Marblehead Community Charter Public (District)","Middle/Junior High",1
04650000,"MATCH Community Day Charter Public School (District)",Elementary,1
04660000,"Martha's Vineyard Charter (District)",Secondary,1
04670000,"Salem Community Charter School (District)",Secondary,1
04680000,"Ma Academy for Math and Science",Secondary,1
04690000,"MATCH Charter Public School (District)",Secondary,1
04700000,"Mystic Valley Regional Charter (District)",Secondary,1
04740000,"North Central Charter Essential (District)",Secondary,1
04750000,"Dorchester Collegiate Academy Charter (District)",Secondary,1
04760000,"Spirit of Knowledge Charter School (District)",Secondary,1
04770000,"Silver Hill Horace Mann Charter (District)",Elementary,1
04780000,"Francis W. Parker Charter Essential (District)",Secondary,1
04790000,"Pioneer Valley Performing Arts Charter Public (District)",Secondary,1
04800000,"UP Academy Charter School of Boston (District)","Middle/Junior High",1
04810000,"Boston Renaissance Charter Public (District)",Elementary,1
04820000,"River Valley Charter (District)",Elementary,1
04830000,"Rising Tide Charter Public (District)","Middle/Junior High",1
04840000,"Roxbury Preparatory Charter (District)","Middle/Junior High",1
04850000,"Salem Academy Charter (District)",Secondary,1
04860000,"Seven Hills Charter Public (District)",Elementary,1
04870000,"Prospect Hill Academy Charter (District)",Secondary,1
04880000,"South Shore Charter Public (District)",Secondary,1
04890000,"Sturgis Charter Public (District)",Secondary,1
04910000,"Atlantis Charter (District)",Elementary,1
04920000,"Martin Luther King Jr. Charter School of Excellence (District)",Elementary,1
04930000,"Phoenix Charter Academy (District)",Secondary,1
04940000,"Pioneer Charter School of Science (District)","Middle/Junior High",1
04960000,"Global Learning Charter Public (District)",Secondary,1
04970000,"Pioneer Valley Chinese Immersion Charter(District)",Elementary,1
04980000,"Veritas Preparatory Charter School (District)","Middle/Junior High",1
04990000,"Hampden Charter School of Science (District)",Secondary,1
06000000,Acton-Boxborough,"Middle/Junior High",1
06000000,Acton-Boxborough,Secondary,1
06030000,Adams-Cheshire,Elementary,2
06030000,Adams-Cheshire,Secondary,1
06050000,Amherst-Pelham,"Middle/Junior High",1
06050000,Amherst-Pelham,Secondary,1
06100000,Ashburnham-Westminster,Elementary,3
06100000,Ashburnham-Westminster,"Middle/Junior High",1
06100000,Ashburnham-Westminster,Secondary,1
06150000,Athol-Royalston,Elementary,3
06150000,Athol-Royalston,"Middle/Junior High",1
06150000,Athol-Royalston,Secondary,1
06160000,"Ayer Shirley School District",Elementary,2
06160000,"Ayer Shirley School District","Middle/Junior High",1
06160000,"Ayer Shirley School District",Secondary,1
06180000,"Berkshire Hills",Elementary,1
06180000,"Berkshire Hills","Middle/Junior High",1
06180000,"Berkshire Hills",Secondary,1
06200000,Berlin-Boylston,Secondary,1
06220000,Blackstone-Millville,Elementary,3
06220000,Blackstone-Millville,"Middle/Junior High",1
06220000,Blackstone-Millville,Secondary,1
06250000,Bridgewater-Raynham,Elementary,4
06250000,Bridgewater-Raynham,"Middle/Junior High",2
06250000,Bridgewater-Raynham,Secondary,1
06320000,Chesterfield-Goshen,Elementary,1
06350000,"Central Berkshire",Elementary,4
06350000,"Central Berkshire","Middle/Junior High",1
06350000,"Central Berkshire",Secondary,1
06400000,Concord-Carlisle,Secondary,1
06450000,Dennis-Yarmouth,Elementary,4
06450000,Dennis-Yarmouth,"Middle/Junior High",1
06450000,Dennis-Yarmouth,Secondary,1
06500000,Dighton-Rehoboth,Elementary,2
06500000,Dighton-Rehoboth,"Middle/Junior High",2
06500000,Dighton-Rehoboth,Secondary,1
06550000,Dover-Sherborn,"Middle/Junior High",1
06550000,Dover-Sherborn,Secondary,1
06580000,"Dudley-Charlton Reg",Elementary,4
06580000,"Dudley-Charlton Reg","Middle/Junior High",2
06580000,"Dudley-Charlton Reg",Secondary,1
06600000,Nauset,"Middle/Junior High",1
06600000,Nauset,Secondary,1
06620000,"Farmington River Reg",Elementary,1
06650000,Freetown-Lakeville,Elementary,3
06650000,Freetown-Lakeville,"Middle/Junior High",1
06650000,Freetown-Lakeville,Secondary,1
06700000,Frontier,Secondary,1
06720000,Gateway,Elementary,2
06720000,Gateway,"Middle/Junior High",2
06720000,Gateway,Secondary,1
06730000,Groton-Dunstable,Elementary,3
06730000,Groton-Dunstable,"Middle/Junior High",1
06730000,Groton-Dunstable,Secondary,1
06740000,Gill-Montague,Elementary,2
06740000,Gill-Montague,"Middle/Junior High",1
06740000,Gill-Montague,Secondary,1
06750000,Hamilton-Wenham,Elementary,3
06750000,Hamilton-Wenham,"Middle/Junior High",1
06750000,Hamilton-Wenham,Secondary,1
06800000,Hampden-Wilbraham,Elementary,4
06800000,Hampden-Wilbraham,"Middle/Junior High",2
06800000,Hampden-Wilbraham,Secondary,1
06830000,Hampshire,Secondary,1
