,"Massachusetts School and District Profiles",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"2012 - 2013 Special Education Report",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"NOTES: Special Education data are suppressed for enrollment counts fewer than 6.",,,,,,,,,,,,,,,,,,,,,
,"      NA = Not Applicable; NR = Not Reported; ""-"" = data suppressed.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,"Indicator 1",,,"Indicator 2",,,"Indicator 5",,,"Indicator 6",,,"Indicator 7",,"Indicator 8",,,"Indicator 14",,
,,,"(Spec Ed. Grad Rate)",,,"(Spec Ed. Dropout)",,,"(LRE Ages 6-21)",,,"(LRE Ages 3-5)",,,"(Early Childhood Outcomes)",,"(Parent Involvement)",,,"(Post-School Outcomes for Students with IEPs)",,
,"Org Name","Org Code","Grad Cohort #","Grad #","Grad %","Enr #","Drop #","Drop %",Students,"Full Incl","Full Incl",Students,"Full Incl #","Full Incl %","Cohort Completion Year","Substantial growth of knowledge & skills","Survey Period","Surv Meet Std #","Surv Meet Std %","Sch Yr Rev","# of Students Engaged","Dist Rate"
Year,,,,,,,,,#,#,%,#,,,,,,,,,,
2012,Granby,01110000,20,16,80,NA,NA,NA,174,78,44.8,18,0,0,2013-14,-,"Spring 2012",17,85,2011-12,4,100
2012,Granville,01120000,NA,NA,NA,NA,NA,NA,17,15,88.2,2,-,-,NA,NA,"Spring 2013",NA,NA,2010-11,NA,NA
2012,Greenfield,01140000,29,12,41.4,62,3,4.8,284,92,32.4,35,0,0,NA,NA,"Spring 2011",9,75,2012-13,NR,NR
2012,Hadley,01170000,10,8,80,18,0,0,70,58,82.9,11,0,0,2010-11,-,"Spring 2011",-,-,2012-13,NR,NR
2012,Halifax,01180000,1,-,-,NA,NA,NA,82,61,74.4,4,-,-,NA,NA,"Spring 2012",-,-,2011-12,NA,NA
2012,Hancock,01210000,1,-,-,NA,NA,NA,3,-,-,0,-,-,2012-13,-,"Spring 2013",NA,NA,2010-11,NA,NA
2012,Hanover,01220000,21,18,85.7,93,1,1.1,389,301,77.4,49,0,0,2009-10,62.5,"Spring 2011",34,85,2012-13,NR,NR
2012,Harvard,01250000,16,13,81.3,48,0,0,173,140,80.9,14,1,7.1,2010-11,0,"Spring 2011",33,78.6,2012-13,NR,NR
2012,Harwich,01260000,12,9,75,32,4,12.5,167,111,66.5,29,28,96.6,2011-12,NA,"Spring 2011",-,-,2012-13,NR,NR
2012,Hatfield,01270000,8,5,62.5,NA,NA,NA,65,53,81.5,4,-,-,2013-14,-,"Spring 2012",-,-,2011-12,6,100
