FY_CODE,ORG_CODE,ORG_NAME,TECH_STU_PER_COMP_CNT,TECH_CLASS_COMP_NET_PCT
2003,00970025,"Goodrich Kindergarten",31.1,80
2003,00970030,"McKay Campus-FSC",12.4,100
2003,00970043,"Reingold Elementary",13,100
2003,00970048,"Memorial Intermediate",28.1,100
2003,00970055,"South Fitchburg ELC",9,44
2003,00970060,"South Street Elementary",17.5,100
2003,00970305,"B F Brown Arts Vision School",14.7,100
2003,00970320,"Academy Middle School",11.4,100
2003,00970505,"Fitchburg High",3.1,100
2003,00980000,Florida,4,90.9
2003,00980005,"Abbott Memorial",4,91
2003,00990000,Foxborough,2.5,100
2003,00990015,"Mabelle M Burrell",3.2,100
2003,00990020,"Vincent M Igo Elem",3.7,100
2003,00990050,"Charles Taylor Elem",3.3,100
2003,00990405,"John J Ahern",1.7,100
2003,00990505,"Foxborough High",3.3,100
2003,01000000,Framingham,4.6,100
2003,01000003,"Blocks Pre-School @ King",10,100
2003,01000006,Brophy,5,100
2003,01000007,"Charlotte A Dunning",8.8,100
2003,01000015,Hemenway,6.8,100
2003,01000020,"Juniper Hill",,
2003,01000035,"Barbieri Elem",8.6,100
2003,01000039,"Potter Road",6.2,100
2003,01000045,"Mary E Stapleton Elem",7.2,100
2003,01000050,"Miriam F McCarthy Sch",11.1,100
2003,01000055,"Woodrow Wilson",2.1,100
2003,01000302,"Cameron Middle School",1.7,100
2003,01000305,"Fuller Middle",8,100
2003,01000310,"Walsh Middle",4,100
2003,01000515,"Framingham H S",4.4,100
2003,01010000,Franklin,4.2,100
2003,01010003,"Franklin ECDC",20.8,100
