			Indicator 4A			Indicator 4B		Indicator 9	Indicator 10	Indicator 11			Indicator 12			Indicator 13			
			Significant Discrepancy (Suspension/Expulsion)			Significant Discrepancy by Race/Ethnicity (Suspension/Expulsion)		(Disproportionality in Special Ed.)	(Disproportionality in Disability Category)	(Init Eval Timelines)			(Part C to B Transition)			(Secondary Transition)			
Year	Org Name	Org Code	Students #	Susp #	Susp %	Significant discrepancy	PPPs contribute to significant discrepancy	Disproportionate Representation in Special Ed	Disproportionate Representation in Disability Categories	Sch Yr Rev	Eval Comp #	Dist Rate	Sch Yr Rev	Ref Part C	IEP by #	IEP by %	Sch Yr Rev	Records in Compliance #	Dist Rate
2006	Murdoch Middle Public Charter (District)	04350000	46	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2006	Community Charter School of Cambridge (District)	04360000	40	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2006	City On A Hill Charter Public (District)	04370000	25	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2008-09	NR	NR
2006	Codman Academy Charter Public (District)	04380000	18	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	NR	NR
2006	Conservatory Lab Charter (District)	04390000	14	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	NR	NR
2006	Community Day Charter Public (District)	04400000	59	0	0	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2006	Sabis International Charter (District)	04410000	106	3	2.8	-	-			2006-07	NR	NR		NR	NR	NR	2007-08	NR	NR
2006	Neighborhood House Charter (District)	04440000	51	0	0	-	-			2006-07	NR	NR		NR	NR	NR	2007-08	NR	NR
2006	Abby Kelley Foster Charter Public (District)	04450000	110	0	0	-	-			2005-06	13	56.5		NR	NR	NR	2006-07	NR	NR
2006	Foxboro Regional Charter (District)	04460000	104	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	-	-
2006	Benjamin Franklin Classical Charter Public (District)	04470000	36	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2006	Boston Collegiate Charter (District)	04490000	52	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	-	-
2006	Hilltown Cooperative Charter Public (District)	04500000	28	0	0	-	-			2005-06	NR	NR		NR	NR	NR	2006-07	NR	NR
2006	Robert M. Hughes Academy Charter (District)	04510000	13	0	0	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2006	Health Careers Academy Charter (District)	04520000	25	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	NR	NR
2006	Holyoke Community Charter (District)	04530000	75	2	2.7	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2006	Lawrence Family Development Charter (District)	04540000	51	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	NR	NR
2006	Hill View Montessori Charter Public (District)	04550000	14	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2006-07	NR	NR
2006	Lowell Community Charter Public (District)	04560000	55	0	0	-	-			2006-07	NR	NR		NR	NR	NR	2007-08	NR	NR
2006	Lowell Middlesex Academy Charter (District)	04580000	8	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	-	-
2006	Marblehead Community Charter (District)	04640000	50	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2006	Martha's Vineyard Charter (District)	04660000	38	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2006	Ma Academy for Math and Science	04680000	0	-	-	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2006	Media and Technology Charter (District)	04690000	20	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	14	100
2006	Mystic Valley Regional Charter (District)	04700000	89	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	-	-
2006	New Leadership Charter (District)	04710000	52	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	0	0
2006	New Bedford Global Learning Charter (District)	04720000	47	0	0	-	-			NA	NA	NA		NA	NA	NA	NA	NA	NA
2006	North Central Charter Essential (District)	04740000	24	1	4.2	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2006	Francis W. Parker Charter Essential (District)	04780000	22	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	NR	NR
2006	Pioneer Valley Performing Arts Charter Public (District)	04790000	45	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	NR	NR
2006	Boston Renaissance Charter (District)	04810000	131	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2006	River Valley Charter (District)	04820000	52	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2006	Rising Tide Charter (District)	04830000	40	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2006	Roxbury Preparatory Charter (District)	04840000	16	2	12.5	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2006	Salem Academy Charter (District)	04850000	31	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2006	Seven Hills Charter (District)	04860000	60	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2006	Prospect Hill Academy Charter (District)	04870000	53	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2006	South Shore Charter Public (District)	04880000	78	1	1.3	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2006	Sturgis Charter Public (District)	04890000	33	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	NR	NR
2006	Uphams Corner Charter (District)	04900000	25	0	0	-	-			2005-06	NR	NR		NA	NA	NA	2006-07	NR	NR
2006	Atlantis Charter (District)	04910000	71	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2006	Acton-Boxborough	06000000	408	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	30	100
2006	Adams-Cheshire	06030000	246	1	0.4	-	-			2006-07	NR	NR		10	0	0	2007-08	NR	NR
2006	Amherst-Pelham	06050000	315	14	4.4	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2006	Ashburnham-Westminster	06100000	478	2	0.4	-	-			2008-09	NR	NR		9	9	100	2007-08	NR	NR
2006	Athol-Royalston	06150000	408	8	2	-	-			2007-08	NR	NR		10	10	100	2005-06	17	54.8
2006	Berkshire Hills	06180000	222	0	0	-	-			2008-09	NR	NR		5	-	-	2008-09	NR	NR
2006	Berlin-Boylston	06200000	72	0	0	-	-			2005-06	-	-		7	6	85.7	2006-07	NR	NR
2006	Blackstone-Millville	06220000	365	5	1.4	-	-			2007-08	NR	NR		7	6	85.7	2005-06	30	100
2006	Bridgewater-Raynham	06250000	1002	11	1.1	-	-			2008-09	NR	NR		18	18	100	2008-09	NR	NR
2006	Chesterfield-Goshen	06320000	24	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	NR	NR
2006	Central Berkshire	06350000	381	3	0.8	-	-			2005-06	-	-		18	18	100	2006-07	NR	NR
2006	Concord-Carlisle	06400000	188	0	0	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2006	Dennis-Yarmouth	06450000	654	18	2.8	-	-			2006-07	NR	NR		13	10	76.9	2007-08	NR	NR
2006	Dighton-Rehoboth	06500000	512	12	2.3	-	-			2008-09	NR	NR		15	12	80	2008-09	NR	NR
2006	Dover-Sherborn	06550000	99	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	21	100
2006	Dudley-Charlton Reg	06580000	567	5	0.9	-	-			2006-07	NR	NR		21	19	90.5	2007-08	NR	NR
2006	Nauset	06600000	310	7	2.3	-	-			2006-07	NR	NR		13	10	76.9	2007-08	NR	NR
2006	Farmington River Reg	06620000	27	0	0	-	-			2008-09	NR	NR		1	-	-	2008-09	NR	NR
2006	Freetown-Lakeville	06650000	282	7	2.5	-	-			2005-06	16	100		9	2	22.2	2006-07	NR	NR
2006	Frontier	06700000	149	0	0	-	-			2008-09	NR	NR		5	-	-	2008-09	NR	NR
2006	Gateway	06720000	237	12	5.1	-	-			2008-09	NR	NR		3	-	-	2008-09	NR	NR
2006	Groton-Dunstable	06730000	300	2	0.7	-	-			2008-09	NR	NR		13	13	100	2008-09	NR	NR
2006	Gill-Montague	06740000	242	0	0	-	-			2008-09	NR	NR		7	6	85.7	2008-09	NR	NR
2006	Hamilton-Wenham	06750000	328	0	0	-	-			2006-07	NR	NR		10	10	100	2007-08	NR	NR
2006	Hampden-Wilbraham	06800000	696	4	0.6	-	-			2006-07	NR	NR		4	-	-	2007-08	NR	NR
2006	Hampshire	06830000	131	2	1.5	-	-			2007-08	NR	NR		8	7	87.5	2005-06	30	100
