FY_CODE,SCHOOL_NAME,DISTRICT_CODE,SCHOOL_CODE,PSR_GRD_PK_CNT,PSR_GRD_K_CNT,PSR_GRD_1_CNT,PSR_GRD_2_CNT,PSR_GRD_3_CNT,PSR_GRD_4_CNT,PSR_GRD_5_CNT,PSR_GRD_6_CNT,PSR_GRD_7_CNT,PSR_GRD_8_CNT,PSR_GRD_9_CNT,PSR_GRD_10_CNT,PSR_GRD_11_CNT,PSR_GRD_12_CNT,PSR_GRD_13_CNT,PSR_GRD_SP_CNT,PSR_GRD_TOTAL_CNT
2002,"Catholic Memorial",0035,00350718,0,0,0,0,0,0,0,0,103,112,153,180,115,101,0,0,764
2002,"Children's Learning Ctr",0035,00350720,14,18,4,3,2,2,0,0,0,0,0,0,0,0,0,0,43
2002,Commonwealth,0035,00350724,0,0,0,0,0,0,0,0,0,0,36,37,34,35,0,0,142
2002,"Compass Inc.",0035,00350725,0,0,0,1,3,2,0,6,9,7,4,8,10,2,0,0,52
2002,"Crittenton Hastings House",0035,00350726,0,0,0,0,0,0,0,0,0,0,8,11,13,8,0,0,40
2002,"E Boston Central Catholic",0035,00350732,25,32,35,33,34,32,28,35,26,25,0,0,0,0,0,0,305
2002,"Gate Of Heaven Elementary",0035,00350736,34,46,56,45,60,43,43,38,17,19,0,0,0,0,0,0,401
2002,"Holden School Inc",0035,00350738,0,0,0,0,0,0,0,0,0,1,5,6,4,7,5,0,28
2002,"Hollow Reed School",0035,00350740,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2002,"Holy Name Elementary",0035,00350746,66,76,79,73,82,76,81,84,26,26,0,0,0,0,0,0,669
2002,"Italian Home For Children",0035,00350749,0,3,4,5,4,9,25,4,3,1,0,0,0,0,0,0,58
2002,"Kennedy Day School",0035,00350758,6,4,3,8,5,6,5,6,3,4,5,6,4,2,1,13,81
2002,"Kids Are People",0035,00350759,0,21,10,12,12,13,13,12,0,0,0,0,0,0,0,0,93
2002,"The Kingsley",0035,00350760,56,23,20,13,6,5,7,7,0,0,0,0,0,0,0,0,137
2002,"Lang and Cognitive Dev Ctr",0035,00350763,0,0,3,0,3,4,5,2,1,1,2,1,0,0,0,0,22
2002,"The Learning Project",0035,00350765,0,0,16,16,16,16,16,15,0,0,0,0,0,0,0,0,95
2002,"Lt Joseph Kennedy Jr Mem",0035,00350766,0,45,25,21,27,17,23,24,0,9,0,0,0,0,0,0,191
2002,Manville,0035,00350768,0,0,0,2,7,6,10,12,11,13,8,2,0,0,0,0,71
2002,"O L Perpetual Help Elem",0035,00350770,0,20,26,24,27,16,27,29,15,17,0,0,0,0,0,0,201
2002,"Monsignor Ryan Memorial High",0035,00350774,0,0,0,0,0,0,0,0,0,0,39,22,55,55,0,0,171
2002,"Most Precious Blood Elem",0035,00350776,22,21,16,18,21,6,7,7,12,6,0,0,0,0,0,0,136
2002,"Mother Caroline Academy",0035,00350778,0,0,0,0,0,0,15,15,15,14,0,0,0,0,0,0,59
2002,"Nativity Prep School",0035,00350782,0,0,0,0,0,0,12,19,21,14,0,0,0,0,0,0,66
2002,"Neighborhood School",0035,00350785,3,9,7,8,7,9,10,6,0,0,0,0,0,0,0,0,59
2002,"Dr. Frederick H. Knight Children's",0035,00350791,0,0,4,2,6,9,12,12,4,1,0,0,0,0,0,0,50
