FY_CODE,WPI_ORG_NAME,ORG_CODE,ORG_TYP_CODE,WPI_PGRAD_4YRPRV_CNT,WPI_PGRAD_4YRPRV_PCT,WPI_PGRAD_4YRPUB_CNT,WPI_PGRAD_4YRPUB_PCT,WPI_PGRAD_2YRPRV_CNT,WPI_PGRAD_2YRPRV_PCT,WPI_PGRAD_2YRPUB_CNT,WPI_PGRAD_2YRPUB_PCT,WPI_PGRAD_PSTSEC_CNT,WPI_PGRAD_PSTSEC_PCT,WPI_PGRAD_WORK_CNT,WPI_PGRAD_WORK_PCT,WPI_PGRAD_MILIT_CNT,WPI_PGRAD_MILIT_PCT,WPI_PGRAD_OTHER_CNT,WPI_PGRAD_OTHER_PCT,WPI_PGRAD_UNKNOWN_CNT,WPI_PGRAD_UNKNOWN_PCT,WPI_PGRAD_TOTAL_CNT
1995,"WM E ENDICOTT",00350362,6,,,,,,,,,,,,,,,,,,,
1995,"WILLIAM MCKINLEY",00350363,6,,0,,0,,0,,6.3,,0,,0,,12.5,,31.3,,50,16
1995,"WILLIAM E RUSSELL",00350366,6,,,,,,,,,,,,,,,,,,,
1995,"WILLIAM MONROE TROTTER",00350370,6,,,,,,,,,,,,,,,,,,,
1995,"WINSHIP ELEMENTARY",00350374,6,,,,,,,,,,,,,,,,,,,
1995,"JAMES M CURLEY",00350384,6,,,,,,,,,,,,,,,,,,,
1995,BLACKSTONE,00350390,6,,,,,,,,,,,,,,,,,,,
1995,"JOSEPH H BARNES MIDDLE",00350405,6,,,,,,,,,,,,,,,,,,,
1995,"MARTIN LUTHER KING JR MID",00350410,6,,,,,,,,,,,,,,,,,,,
1995,"GROVER CLEVELAND",00350415,6,,,,,,,,,,,,,,,,,,,
1995,"MARY E CURLEY MIDDLE",00350420,6,,,,,,,,,,,,,,,,,,,
1995,"THOMAS A EDISON JR HIGH",00350425,6,,,,,,,,,,,,,,,,,,,
1995,"CLARENCE R EDWARDS MIDDLE",00350430,6,,,,,,,,,,,,,,,,,,,
1995,"PATRICK F GAVIN MIDDLE",00350435,6,,,,,,,,,,,,,,,,,,,
1995,"WASHINGTON IRVING MIDDLE",00350445,6,,,,,,,,,,,,,,,,,,,
1995,"SOLOMON LEWENBERG MIDDLE",00350450,6,,,,,,,,,,,,,,,,,,,
1995,"LEWIS MIDDLE SCHOOL",00350455,6,,,,,,,,,,,,,,,,,,,
1995,"WM B ROGERS MIDDLE",00350470,6,,,,,,,,,,,,,,,,,,,
1995,"ROBERT GOULD SHAW MIDDLE",00350475,6,,,,,,,,,,,,,,,,,,,
1995,"WILLIAM H TAFT MIDDLE",00350480,6,,,,,,,,,,,,,,,,,,,
1995,"JAMES P TIMILTY MIDDLE",00350485,6,,,,,,,,,,,,,,,,,,,
1995,"WOODROW WILSON MIDDLE",00350490,6,,,,,,,,,,,,,,,,,,,
1995,"BRIGHTON HIGH",00350505,6,,16.9,,19.7,,11.4,,19.3,,2.8,,5.1,,2.4,,15.4,,7.1,254
1995,"CHARLESTOWN HIGH",00350515,6,,13.8,,16.5,,9,,19.1,,4.8,,8,,2.7,,12.8,,13.3,188
1995,"DORCHESTER HIGH",00350520,6,,7.1,,5.3,,8,,21.2,,3.5,,2.7,,2.7,,29.2,,20.4,113
1995,"JEREMIAH E BURKE HIGH",00350525,6,,10.9,,13.9,,8,,5.8,,6.6,,15.3,,3.6,,28.5,,7.3,137
1995,"EAST BOSTON HIGH",00350530,6,,12.5,,13,,6.3,,10.9,,5.2,,6.3,,1.6,,24,,20.3,192
1995,"THE ENGLISH HIGH",00350535,6,,11.3,,12.9,,14.9,,19.1,,3.1,,4.6,,2.1,,17,,14.9,194
1995,"MADISON PARK HIGH",00350537,6,,16,,9.5,,8.8,,18.3,,7.6,,17.6,,3.1,,13.7,,5.3,262
1995,"BOSTON LATIN ACADEMY",00350545,6,,61.2,,26.4,,2.8,,3.9,,2.2,,0.6,,1.1,,0,,1.7,178
1995,"HYDE PARK HIGH SCHOOL",00350550,6,,12.2,,11.6,,9.3,,20.3,,2.3,,16.3,,1.2,,8.7,,18,172
