"Grades Offered by District Report",,
"District Code",District,"Grade List"
02750000,Southampton,"PK,K,1,2,3,4,5,6"
02760000,Southborough,"PK,K,1,2,3,4,5,6,7,8"
02770000,Southbridge,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02780000,"South Hadley","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02810000,Springfield,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02840000,Stoneham,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02850000,Stoughton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02870000,Sturbridge,"PK,K,1,2,3,4,5,6"
02880000,Sudbury,"PK,K,1,2,3,4,5,6,7,8"
02890000,Sunderland,"PK,K,1,2,3,4,5,6"
02900000,Sutton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02910000,Swampscott,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02920000,Swansea,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02930000,Taunton,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02950000,Tewksbury,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
02960000,Tisbury,"PK,K,1,2,3,4,5,6,7,8"
02980000,Topsfield,"PK,K,1,2,3,4,5,6"
03000000,Truro,"PK,K,1,2,3,4,5,6"
03010000,Tyngsborough,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03040000,Uxbridge,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03050000,Wakefield,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03060000,Wales,"PK,K,1,2,3,4,5,6"
03070000,Walpole,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03080000,Waltham,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03090000,Ware,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03100000,Wareham,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03140000,Watertown,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03150000,Wayland,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03160000,Webster,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03170000,Wellesley,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03180000,Wellfleet,"PK,K,1,2,3,4,5"
03210000,Westborough,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03220000,"West Boylston","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03230000,"West Bridgewater","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03250000,Westfield,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03260000,Westford,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03270000,Westhampton,"PK,K,1,2,3,4,5,6"
03300000,Weston,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03310000,Westport,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03320000,"West Springfield","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03350000,Westwood,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03360000,Weymouth,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03370000,Whately,"PK,K,1,2,3,4,5,6"
03400000,Williamsburg,"PK,K,1,2,3,4,5,6"
03410000,Williamstown,"PK,K,1,2,3,4,5,6"
03420000,Wilmington,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03430000,Winchendon,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03440000,Winchester,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03460000,Winthrop,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03470000,Woburn,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03480000,Worcester,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
03500000,Wrentham,"PK,K,1,2,3,4,5,6"
03700000,"Institutional Schools","1,2,3,4,5,6,7,8,9,10,11,12"
04060000,"Northampton-Smith Vocational Agricultural","9,10,11,12"
04070000,"Dudley Street Neighborhood Charter School (District)","PK,K,1,2"
04090000,"Alma del Mar Charter School (District)","K,1,2,3,4"
04100000,"Excel Academy Charter (District)","5,6,7,8"
04110000,"Boston Green Academy Horace Mann Charter School (District)","9,10,11,12"
