FY_CODE	ORG_CODE	SPA_GENR_EDU_CNT	SPA_SPED_CNT	SPA_CAREER_VOC_CNT	SPA_ENG_LNR_CNT	SPA_TOTAL	SPA_GENR_EDU_PCT	SPA_SPED_PCT	SPA_CAREER_VOC_PCT	SPA_ENG_LNR_PCT	SPA_TOTAL_PCT
2008	00090005	19.8	1.8	0	0	21.6	91.6	8.4	0	0	100
2008	00090010	20.8	2.6	0	.4	23.8	87.4	10.9	0	1.7	100
2008	00090020	30.8	4.4	0	.5	35.6	86.4	12.3	0	1.3	100
2008	00090025	35.4	7.9	0	.2	43.6	81.3	18.2	0	.5	100
2008	00090305	34.1	8.6	0	.5	43.1	79.1	19.9	0	1	100
2008	00090310	35.2	6	0	.2	41.4	85.1	14.4	0	.5	100
2008	00090350	25.5	8.8	0	.2	34.5	74	25.4	0	.6	100
2008	00090505	113.9	14.4	0	.8	129.2	88.2	11.2	0	.7	100
2008	00100000	300.5	28.3	0	5.1	333.9	90	8.5	0	1.5	100
2008	00100005	23.7	.1	0	0	23.8	99.6	.4	0	0	100
2008	00100010	26.2	1	0	.4	27.6	94.9	3.6	0	1.5	100
2008	00100025	23.4	2	0	0	25.4	92.1	7.9	0	0	100
2008	00100030	21.2	4.5	0	1.3	27	78.7	16.7	0	4.6	100
2008	00100038	2	1	0	0	3	66.7	33.3	0	0	100
2008	00100045	17.2	2.1	0	.3	19.6	87.7	10.8	0	1.5	100
2008	00100050	22.4	.3	0	.4	23	97.1	1.4	0	1.5	100
2008	00100055	19.8	2.1	0	1.3	23.2	85.5	8.9	0	5.6	100
2008	00100410	65.1	8.3	0	.8	74.2	87.7	11.2	0	1.1	100
2008	00100505	79.5	6.9	0	.7	87.1	91.3	7.9	0	.7	100
2008	00140000	151.1	26.3	1	.8	179.2	84.3	14.7	.6	.4	100
2008	00140005	10.9	1	0	0	11.9	91.6	8.4	0	0	100
2008	00140010	23.8	6.1	0	.8	30.7	77.5	19.9	0	2.6	100
2008	00140015	33.5	8.7	0	0	42.1	79.5	20.5	0	0	100
2008	00140405	35.8	6.7	0	0	42.6	84.2	15.8	0	0	100
2008	00140505	47.1	3.8	1	0	51.9	90.7	7.4	1.9	0	100
2008	00160000	302.5	75	14.4	3.5	395.4	76.5	19	3.6	.9	100
2008	00160001	24.3	6	0	0	30.3	80.2	19.8	0	0	100
2008	00160008	0	6.5	0	0	6.5	0	100	0	0	100
2008	00160035	22.3	5	0	.2	27.5	81.1	18.1	0	.7	100
2008	00160040	22	4	0	.3	26.3	83.6	15.2	0	1.3	100
2008	00160045	23.8	3	0	0	26.8	88.8	11.2	0	0	100
2008	00160050	23.6	7	0	.5	31.1	76	22.5	0	1.5	100
2008	00160305	32	8	0	.2	40.2	79.6	19.9	0	.5	100
2008	00160315	32.8	9	0	.4	42.2	77.7	21.3	0	.9	100
2008	00160320	32.2	6	0	.9	39.1	82.3	15.4	0	2.3	100
2008	00160505	89.6	20.5	14.4	1	125.5	71.4	16.4	11.5	.8	100
2008	00170000	144.6	20	0	0	164.6	87.8	12.2	0	0	100
2008	00170005	16.1	2	0	0	18.1	88.9	11.1	0	0	100
2008	00170010	13.4	2	0	0	15.4	87	13	0	0	100
