FY	org_code	district_short_name	total	avg	fte
1998	00650000	COHASSET                     	4100390	46490	88
1998	00670000	CONCORD                      	7782821	59730	130
1998	00680000	CONWAY                       	551748	38584	14
1998	00710000	DANVERS                      	11371471	46509	245
1998	00720000	DARTMOUTH                    	11293645	36186	312
1998	00730000	DEDHAM                       	9970659	45239	220
1998	00740000	DEERFIELD                    	1385438	44263	31
1998	00770000	DOUGLAS                      	3192892	40935	78
1998	00780000	DOVER                        	1552154	44666	35
1998	00790000	DRACUT                       	10263996	42239	243
1998	00820000	DUXBURY                      	9307497	50368	185
1998	00830000	EAST BRIDGEWATER             	6603355	45603	145
1998	00850000	EASTHAM                      	1069687	38478	28
1998	00860000	EASTHAMPTON                  	5272207	38823	136
1998	00870000	EAST LONGMEADOW              	6937480	38953	178
1998	00880000	EASTON                       	9312082	42405	220
1998	00890000	EDGARTOWN                    	1564273	40110	39
1998	00910000	ERVING                       	592395	41339	14
1998	00920000	ESSEX                        	1066078	41482	26
1998	00930000	EVERETT                      	14844099	41932	354
1998	00940000	FAIRHAVEN                    	5990767	41089	146
1998	00950000	FALL RIVER                   	36553543	41491	881
1998	00960000	FALMOUTH                     	14734248	46769	315
1998	00970000	FITCHBURG                    	14812051	37499	395
1998	00980000	FLORIDA                      	380903	29758	13
1998	00990000	FOXBOROUGH                   	8298607	45647	182
1998	01000000	FRAMINGHAM                   	27917098	45766	610
1998	01010000	FRANKLIN                     	14251826	41684	342
1998	01020000	FREETOWN                     	1073865	40677	26
1998	01030000	GARDNER                      	7138586	41145	174
1998	01050000	GEORGETOWN                   	3698019	39636	93
1998	01070000	GLOUCESTER                   	11419697	39501	289
1998	01100000	GRAFTON                      	6038415	38832	156
1998	01110000	GRANBY                       	2649732	38514	69
1998	01120000	GRANVILLE                    	624506	32697	19
1998	01140000	GREENFIELD                   	6121758	38499	159
1998	01170000	HADLEY                       	1580787	34365	46
1998	01180000	HALIFAX                      	1865094	42582	44
1998	01210000	HANCOCK                      	214555	20831	10
1998	01220000	HANOVER                      	7743016	46701	166
1998	01250000	HARVARD                      	3393738	43790	78
1998	01260000	HARWICH                      	4863424	45752	106
1998	01270000	HATFIELD                     	1342333	27849	48
1998	01280000	HAVERHILL                    	23103034	44600	518
1998	01310000	HINGHAM                      	11450041	49902	230
1998	01330000	HOLBROOK                     	3980572	45337	88
1998	01350000	HOLLAND                      	780226	38060	21
1998	01360000	HOLLISTON                    	8612985	39527	218
1998	01370000	HOLYOKE                      	26496549	40165	660
1998	01380000	HOPEDALE                     	3287199	39942	82
1998	01390000	HOPKINTON                    	7040807	46200	152
1998	01410000	HUDSON                       	8378691	45860	183
1998	01420000	HULL                         	4303017	40981	105
1998	01440000	IPSWICH                      	5348046	44530	120
1998	01450000	KINGSTON                     	3170790	47396	67
1998	01460000	LAKEVILLE                    	1435535	42724	34
1998	01480000	LANESBOROUGH                 	923673	48614	19
1998	01490000	LAWRENCE                     	33064839	38992	848
1998	01500000	LEE                          	2941283	41137	72
1998	01510000	LEICESTER                    	4807899	42548	113
1998	01520000	LENOX                        	2929891	43470	67
1998	01530000	LEOMINSTER                   	15666185	38874	403
1998	01540000	LEVERETT                     	510554	35455	14
1998	01550000	LEXINGTON                    	23254468	57169	407
1998	01570000	LINCOLN                      	2864096	51236	56
1998	01580000	LITTLETON                    	3846682	42271	91
1998	01590000	LONGMEADOW                   	9842555	42608	231
1998	01600000	LOWELL                       	51487886	47202	1091
1998	01610000	LUDLOW                       	7714199	41033	188
1998	01620000	LUNENBURG                    	4786671	45427	105
1998	01630000	LYNN                         	44064071	44518	990
1998	01640000	LYNNFIELD                    	5907254	46007	128
1998	01650000	MALDEN                       	19085497	50625	377
1998	01660000	MANCHESTER                   	3511462	49249	71
1998	01670000	MANSFIELD                    	10554355	42083	251
1998	01680000	MARBLEHEAD                   	9905121	50102	198
1998	01690000	MARION                       	1638296	42443	39
1998	01700000	MARLBOROUGH                  	13869960	44498	312
1998	01710000	MARSHFIELD                   	13573115	44989	302
1998	01720000	MASHPEE                      	4620970	37326	124
1998	01730000	MATTAPOISETT                 	1676361	43429	39
1998	01740000	MAYNARD                      	4285088	38849	110
1998	01750000	MEDFIELD                     	7289031	46605	156
1998	01760000	MEDFORD                      	19562955	43804	447
1998	01770000	MEDWAY                       	7196785	46127	156
1998	01780000	MELROSE                      	11135668	45396	245
1998	01810000	METHUEN                      	15617416	40565	385
1998	01820000	MIDDLEBOROUGH                	8936770	42862	209
1998	01840000	MIDDLETON                    	1770117	41699	43
1998	01850000	MILFORD                      	13379173	43666	306
1998	01860000	MILLBURY                     	5497689	49573	111
1998	01870000	MILLIS                       	3564538	47464	75
1998	01890000	MILTON                       	11154379	43915	254
1998	01910000	MONSON                       	3882464	42431	92
1998	01960000	NAHANT                       	810582	43116	19
1998	01970000	NANTUCKET                    	5493561	38283	144
1998	01980000	NATICK                       	14266912	47101	303
1998	01990000	NEEDHAM                      	14654065	48355	303
1998	02010000	NEW BEDFORD                  	40315933	40888	986
1998	02040000	NEWBURYPORT                  	7842742	41940	187
1998	02070000	NEWTON                       	41013791	49853	823
1998	02080000	NORFOLK                      	3091991	45205	68
1998	02090000	NORTH ADAMS                  	6777632	38729	175
1998	02100000	NORTHAMPTON                  	9007194	36689	246
1998	02110000	NORTH ANDOVER                	11016834	45751	241
1998	02120000	NORTH ATTLEBOROUGH           	11161700	38837	287
1998	02130000	NORTHBOROUGH                 	5608188	45355	124
1998	02140000	NORTHBRIDGE                  	6365399	41878	152
1998	02150000	NORTH BROOKFIELD             	2606958	39026	67
1998	02170000	NORTH READING                	6170743	47105	131
1998	02180000	NORTON                       	6673620	42238	158
1998	02190000	NORWELL                      	6757326	55524	122
1998	02200000	NORWOOD                      	11214314	45310	248
1998	02210000	OAK BLUFFS                   	1520797	25517	60
1998	02230000	ORANGE                       	2636072	35289	75
1998	02240000	ORLEANS                      	1177718	43458	27
1998	02260000	OXFORD                       	5243084	44622	118
1998	02270000	PALMER                       	5116732	38128	134
1998	02290000	PEABODY                      	17956559	44098	407
1998	02300000	PELHAM                       	425914	41756	10
1998	02310000	PEMBROKE                     	5117064	46183	111
1998	02340000	PETERSHAM                    	242670	31930	8
1998	02360000	PITTSFIELD                   	21038933	42247	498
1998	02380000	PLAINVILLE                   	1760861	46096	38
1998	02390000	PLYMOUTH                     	27274887	46800	583
1998	02400000	PLYMPTON                     	768118	42204	18
1998	02420000	PROVINCETOWN                 	1875834	33378	56
1998	02430000	QUINCY                       	28554473	47702	599
1998	02440000	RANDOLPH                     	11731153	42032	279
1998	02460000	READING                      	11593783	42781	271
1998	02480000	REVERE                       	17471201	45856	381
1998	02490000	RICHMOND                     	793089	43103	18
1998	02500000	ROCHESTER                    	1330606	46202	29
1998	02510000	ROCKLAND                     	7406746	47237	157
1998	02520000	ROCKPORT                     	3401722	41586	82
1998	02530000	ROWE                         	188462	23124	8
1998	02580000	SALEM                        	14964814	42477	352
1998	02610000	SANDWICH                     	10049868	41962	240
1998	02620000	SAUGUS                       	10320971	42473	243
1998	02630000	SAVOY                        	154508	36788	4
1998	02640000	SCITUATE                     	8635490	46056	188
1998	02650000	SEEKONK                      	6400361	44324	144
1998	02660000	SHARON                       	8974702	40390	222
1998	02690000	SHERBORN                     	1448120	50195	29
1998	02700000	SHIRLEY                      	1852761	37279	50
1998	02710000	SHREWSBURY                   	12001391	45546	264
1998	02720000	SHUTESBURY                   	597916	37843	16
1998	02730000	SOMERSET                     	9562212	45752	209
1998	02740000	SOMERVILLE                   	20929199	41370	506
1998	02750000	SOUTHAMPTON                  	1257621	41233	31
1998	02760000	SOUTHBOROUGH                 	3666767	46740	79
1998	02770000	SOUTHBRIDGE                  	8453571	41439	204
1998	02780000	SOUTH HADLEY                 	6475396	39460	164
1998	02810000	SPRINGFIELD                  	81798921	41726	1960
1998	02840000	STONEHAM                     	8154337	46226	176
1998	02850000	STOUGHTON                    	12332523	44960	274
1998	02870000	STURBRIDGE                   	3085045	48054	64
1998	02880000	SUDBURY                      	8044718	49203	164
1998	02890000	SUNDERLAND                   	783077	40999	19
1998	02900000	SUTTON                       	3694590	41984	88
