FY_CODE,PARENT_ORG_CODE,ORG_CODE,ORG_NAME,TEACHER_COUNT,LICENSED_PCT,CORE_COUNT,HQ_PCT,STAFF_TEASTU_PCT
2004,00350000,00350268,"Paul A Dever",30,93.33,28,92.86,16.5
2004,00350000,00350270,"Pauline Agassiz Shaw",19,82.11,19,87.37,14.9
2004,00350000,00350278,"Phineas Bates",20.2,91.58,19.6,92.86,16.5
2004,00350000,00350284,"Quincy E Dickerman",15,100,14,100,15.1
2004,00350000,00350286,"Josiah Quincy",39.7,84.13,37.2,84.41,20.2
2004,00350000,00350288,"Ralph Waldo Emerson",11,78.18,10.4,76.92,17
2004,00350000,00350298,"Roger Clap",10.8,100,9.8,100,13.2
2004,00350000,00350302,"Samuel Adams",16.39,98.23,15.89,96.22,14.9
2004,00350000,00350304,"Samuel W Mason",17.5,65.71,17.5,82.86,12.1
2004,00350000,00350308,"Sarah Greenwood",28.5,35.09,28.5,78.95,13.7
2004,00350000,00350326,"Thomas Gardner",18.5,78.92,18.5,78.92,18.9
2004,00350000,00350328,"Thomas J Kenny",15.2,93.42,14.2,92.96,19.4
2004,00350000,00350346,Warren-Prescott,17.5,85.14,16.5,90.3,16.3
2004,00350000,00350360,"William Ellery Channing",19.4,100,18.4,100,15.2
2004,00350000,00350363,"William McKinley",53.4,69.29,53.4,77.53,8.3
2004,00350000,00350366,"William E Russell",22,81.82,21,90.48,18.1
2004,00350000,00350370,"William Monroe Trotter",35,80,32,89.06,15.9
2004,00350000,00350374,"Winship Elementary",18,85.56,16,88.75,11.8
2004,00350000,00350380,"Young Achievers",17.8,71.91,17.8,77.53,16.6
2004,00350000,00350381,"Mildred Avenue Middle School",37,64.86,33,75.76,18.6
2004,00350000,00350382,"Mission Hill School",7,100,6,100,23.4
2004,00350000,00350383,"New Boston Pilot Middle School",34,58.82,29,65.52,19.9
2004,00350000,00350384,"James M Curley",17.4,86.21,16.4,87.8,15.1
2004,00350000,00350390,Blackstone,44.5,89.89,37.5,96,15.1
