FY_CODE,ORG_CODE,ORG_NAME,ESTATUS,MSTATUS
2008,00410000,Brewster,"Improvement Year 1 - Subgroups",
2008,00430000,Brimfield,,
2008,00440000,Brockton,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,00450000,Brookfield,,
2008,00460000,Brookline,,
2008,00480000,Burlington,,
2008,00490000,Cambridge,,
2008,00500000,Canton,,
2008,00510000,Carlisle,,
2008,00520000,Carver,,
2008,00550000,Chatham,,
2008,00560000,Chelmsford,,
2008,00570000,Chelsea,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,00610000,Chicopee,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,00630000,Clarksburg,,
2008,00640000,Clinton,,
2008,00650000,Cohasset,,
2008,00670000,Concord,,
2008,00680000,Conway,,
2008,00710000,Danvers,,
2008,00720000,Dartmouth,,
2008,00730000,Dedham,,
2008,00740000,Deerfield,,
2008,00770000,Douglas,,
2008,00780000,Dover,"Improvement Year 1 - Subgroups",
2008,00790000,Dracut,,
2008,00820000,Duxbury,,
2008,00830000,"East Bridgewater",,
2008,00850000,Eastham,,
2008,00860000,Easthampton,,
2008,00870000,"East Longmeadow",,
2008,00880000,Easton,,
2008,00890000,Edgartown,,
2008,00910000,Erving,,
2008,00930000,Everett,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,00940000,Fairhaven,,
2008,00950000,"Fall River","Corrective Action","Corrective Action"
2008,00960000,Falmouth,"Improvement Year 1 - Subgroups","Corrective Action - Subgroups"
2008,00970000,Fitchburg,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,00980000,Florida,,
2008,00990000,Foxborough,,
2008,01000000,Framingham,,
2008,01010000,Franklin,,
2008,01020000,Freetown,,
2008,01030000,Gardner,"Corrective Action - Subgroups","Corrective Action"
2008,01050000,Georgetown,,
2008,01070000,Gloucester,,"Corrective Action - Subgroups"
2008,01090000,Gosnold,,
2008,01100000,Grafton,,
2008,01110000,Granby,,
2008,01120000,Granville,,"Improvement Year 2"
2008,01140000,Greenfield,,"Corrective Action - Subgroups"
2008,01170000,Hadley,,
2008,01180000,Halifax,"Improvement Year 1",
2008,01210000,Hancock,,
2008,01220000,Hanover,,
2008,01250000,Harvard,,
2008,01260000,Harwich,,
2008,01270000,Hatfield,,
2008,01280000,Haverhill,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,01310000,Hingham,,
2008,01330000,Holbrook,"Corrective Action - Subgroups",
2008,01350000,Holland,,
2008,01360000,Holliston,,
2008,01370000,Holyoke,"Corrective Action","Corrective Action"
2008,01380000,Hopedale,,
2008,01390000,Hopkinton,,
2008,01410000,Hudson,,
2008,01420000,Hull,,
2008,01440000,Ipswich,,
2008,01450000,Kingston,,
2008,01460000,Lakeville,,
2008,01480000,Lanesborough,,
2008,01490000,Lawrence,"Corrective Action","Corrective Action - Subgroups"
2008,01500000,Lee,,
2008,01510000,Leicester,,
2008,01520000,Lenox,,
2008,01530000,Leominster,"Corrective Action - Subgroups",
2008,01540000,Leverett,,
2008,01550000,Lexington,,
2008,01570000,Lincoln,"Improvement Year 1 - Subgroups","Improvement Year 1 - Subgroups"
2008,01580000,Littleton,,
2008,01590000,Longmeadow,,
2008,01600000,Lowell,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,01610000,Ludlow,,
2008,01620000,Lunenburg,,
2008,01630000,Lynn,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,01640000,Lynnfield,,
2008,01650000,Malden,"Corrective Action - Subgroups",
2008,01670000,Mansfield,,
2008,01680000,Marblehead,,
2008,01690000,Marion,,
2008,01700000,Marlborough,"Improvement Year 1 - Subgroups","Corrective Action - Subgroups"
2008,01710000,Marshfield,,
2008,01720000,Mashpee,,
2008,01730000,Mattapoisett,,
2008,01740000,Maynard,,
2008,01750000,Medfield,,
2008,01760000,Medford,,"Corrective Action - Subgroups"
2008,01770000,Medway,,
2008,01780000,Melrose,,
2008,01810000,Methuen,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,01820000,Middleborough,,
2008,01840000,Middleton,,
2008,01850000,Milford,,
2008,01860000,Millbury,,
2008,01870000,Millis,,
2008,01890000,Milton,,
2008,01910000,Monson,,
2008,01960000,Nahant,,
2008,01970000,Nantucket,,
2008,01980000,Natick,,
2008,01990000,Needham,,
2008,02010000,"New Bedford","Corrective Action","Corrective Action - Subgroups"
2008,02040000,Newburyport,,
2008,02070000,Newton,,
2008,02080000,Norfolk,,
2008,02090000,"North Adams",,
2008,02100000,Northampton,,
2008,02110000,"North Andover",,
2008,02120000,"North Attleborough",,
2008,02130000,Northborough,,
2008,02140000,Northbridge,,
2008,02150000,"North Brookfield",,
2008,02170000,"North Reading",,
2008,02180000,Norton,,
2008,02190000,Norwell,,
2008,02200000,Norwood,,
2008,02210000,"Oak Bluffs","Improvement Year 1 - Subgroups",
2008,02230000,Orange,"Corrective Action - Subgroups",
2008,02240000,Orleans,,
2008,02260000,Oxford,,
2008,02270000,Palmer,,
2008,02290000,Peabody,"Improvement Year 2 - Subgroups","Corrective Action - Subgroups"
2008,02300000,Pelham,,
2008,02310000,Pembroke,,
2008,02340000,Petersham,,
2008,02360000,Pittsfield,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,02380000,Plainville,,
2008,02390000,Plymouth,"Improvement Year 1 - Subgroups",
2008,02400000,Plympton,,
2008,02420000,Provincetown,,
2008,02430000,Quincy,,
2008,02440000,Randolph,"Corrective Action - Subgroups","Improvement Year 2 - Subgroups"
2008,02460000,Reading,,
2008,02480000,Revere,"Corrective Action - Subgroups",
2008,02490000,Richmond,,
2008,02500000,Rochester,"Improvement Year 1 - Subgroups",
2008,02510000,Rockland,,
2008,02520000,Rockport,,
2008,02530000,Rowe,,
2008,02580000,Salem,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,02610000,Sandwich,,
2008,02620000,Saugus,,
2008,02630000,Savoy,,
2008,02640000,Scituate,,
2008,02650000,Seekonk,,
2008,02660000,Sharon,,
2008,02690000,Sherborn,,
2008,02700000,Shirley,,
2008,02710000,Shrewsbury,,
2008,02720000,Shutesbury,,
2008,02730000,Somerset,,
2008,02740000,Somerville,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,02750000,Southampton,"Improvement Year 1 - Subgroups","Improvement Year 1 - Subgroups"
2008,02760000,Southborough,,
2008,02770000,Southbridge,"Corrective Action - Subgroups",
2008,02780000,"South Hadley",,
2008,02810000,Springfield,"Corrective Action","Corrective Action"
2008,02840000,Stoneham,,
2008,02850000,Stoughton,"Improvement Year 2 - Subgroups",
2008,02870000,Sturbridge,,
2008,02880000,Sudbury,,
2008,02890000,Sunderland,,
2008,02900000,Sutton,,
2008,02910000,Swampscott,,
2008,02920000,Swansea,,
2008,02930000,Taunton,,
2008,02950000,Tewksbury,,
2008,02960000,Tisbury,,
2008,02980000,Topsfield,,
2008,03000000,Truro,,
2008,03010000,Tyngsborough,,
2008,03040000,Uxbridge,,
2008,03050000,Wakefield,,
2008,03060000,Wales,,
2008,03070000,Walpole,,
2008,03080000,Waltham,"Corrective Action - Subgroups",
2008,03090000,Ware,,
2008,03100000,Wareham,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,03140000,Watertown,,
2008,03150000,Wayland,,
2008,03160000,Webster,,
2008,03170000,Wellesley,,
2008,03180000,Wellfleet,,
2008,03210000,Westborough,,
2008,03220000,"West Boylston",,
2008,03230000,"West Bridgewater",,
2008,03250000,Westfield,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,03260000,Westford,,
2008,03270000,Westhampton,"Improvement Year 2",
2008,03300000,Weston,,
2008,03310000,Westport,,
2008,03320000,"West Springfield",,
2008,03350000,Westwood,,
2008,03360000,Weymouth,"Corrective Action - Subgroups",
2008,03370000,Whately,,
2008,03400000,Williamsburg,,
2008,03410000,Williamstown,,
2008,03420000,Wilmington,,
2008,03430000,Winchendon,,
2008,03440000,Winchester,,
2008,03460000,Winthrop,,
2008,03470000,Woburn,,"Corrective Action - Subgroups"
2008,03480000,Worcester,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2008,03500000,Wrentham,,
2008,04060000,"Northampton-Smith Vocational Agricultural",,
2008,04100000,"Excel Academy Charter (District)",,
2008,04120000,"Academy Of the Pacific Rim Charter Public (District)","Improvement Year 1 - Subgroups",
2008,04130000,"Four Rivers Charter Public (District)",,
2008,04140000,"Berkshire Arts and Technology Charter (District)","Improvement Year 2","Corrective Action"
2008,04150000,"Academy of Strategic Learning Charter (District)","Improvement Year 1",
2008,04160000,"Boston Preparatory Charter Public (District)",,
2008,04180000,"Christa McAuliffe Regional Charter Public (District)","Improvement Year 1 - Subgroups",
2008,04190000,"Smith Leadership Academy Charter Public (District)","Improvement Year 2 - Subgroups","Corrective Action"
2008,04200000,"Benjamin Banneker Charter Public (District)",,"Restructuring Year 2"
2008,04230000,"Barnstable Horace Mann Charter (District)",,"Improvement Year 1 - Subgroups"
2008,04240000,"Boston Day and Evening Academy Charter (District)","Improvement Year 1","Improvement Year 1"
2008,04270000,"Marstons Mills East HM Charter Public (District)",,
2008,04280000,"Edward Brooke Charter (District)",,
2008,04290000,"Kipp Academy Lynn Charter (District)",,
2008,04300000,"Advanced Math and Science Academy Charter (District)",,
2008,04320000,"Cape Cod Lighthouse Charter (District)",,
2008,04340000,"Champion Charter (District)","Improvement Year 1","Corrective Action"
2008,04350000,"Innovation Academy Charter (District)",,
2008,04360000,"Community Charter School of Cambridge (District)",,
2008,04370000,"City On A Hill Charter Public (District)",,
2008,04380000,"Codman Academy Charter Public (District)",,
2008,04390000,"Conservatory Lab Charter (District)",,
2008,04400000,"Community Day Charter Public (District)","Improvement Year 1 - Subgroups",
2008,04410000,"Sabis International Charter (District)","Corrective Action - Subgroups","Improvement Year 2 - Subgroups"
2008,04440000,"Neighborhood House Charter (District)",,"Improvement Year 2 - Subgroups"
2008,04450000,"Abby Kelley Foster Charter Public (District)","Improvement Year 1 - Subgroups","Improvement Year 2 - Subgroups"
